DELIVERY_UUID,DELIV_CREATED_AT_EDT,DELIV_STORE_NAME,DELIV_SUBMARKET,DELIV_DASHER_ID,DELIV_D2R,DELIV_IS_20_MIN_LATE,DELIV_CLAT,WAS_CANCELLED,DELIV_MISSING_INCORRECT_REPORT_BINARY,n_items_requested,n_missing,n_subbed,n_found,order_value,avg_item_price,n_categories,has_alcohol,has_perishable,missing_rate,sub_rate,unfulfilled_rate,plain_missing_rate,hour,dow,is_weekend,daypart,STORE_GRP,dasher_assigned,cluster_id
53201d1f-236c-4382-8723-b8c68e8bff2d,2022-10-11 01:43:30.432,DashMart1,Cincinnati,,,0,,1,0,3,0,0,3,14.47,4.823333333333333,2,0,1,0.0,0.0,0.0,0.0,1,Tuesday,False,Overnight(0-5),DashMart1,0,unassigned_53201d1f-236c-4382-8723-b8c68e8bff2d
95e4e6c3-8a3b-45e4-aa8d-6a5e02476ae1,2022-10-10 19:25:32.160,DashMart1,Cincinnati,,,0,,1,0,2,0,0,2,11.48,5.74,1,0,0,0.0,0.0,0.0,0.0,19,Monday,False,Evening(18-21),DashMart1,0,unassigned_95e4e6c3-8a3b-45e4-aa8d-6a5e02476ae1
dca3979e-b4ba-41cf-bd05-9bdadb5a6dd5,2022-10-10 21:27:30.240,Grocery1,Cincinnati,,,0,,1,0,1,0,0,0,10.35,10.35,1,0,0,0.0,0.0,0.0,0.0,21,Monday,False,Evening(18-21),Grocery1,0,unassigned_dca3979e-b4ba-41cf-bd05-9bdadb5a6dd5
7ace0720-a9ea-4d8d-bf4d-2416eb654a88,2022-10-10 19:32:08.736,DashMart1,Cincinnati,,,0,,1,0,7,0,0,7,21.23,3.032857142857143,4,0,1,0.0,0.0,0.0,0.0,19,Monday,False,Evening(18-21),DashMart1,0,unassigned_7ace0720-a9ea-4d8d-bf4d-2416eb654a88
e3d200ba-7d48-4b6f-8d64-b062a81f4c97,2022-10-10 20:17:24.288,DashMart1,Cincinnati,,,0,,1,0,3,0,0,0,18.47,6.156666666666666,1,0,0,0.0,0.0,0.0,0.0,20,Monday,False,Evening(18-21),DashMart1,0,unassigned_e3d200ba-7d48-4b6f-8d64-b062a81f4c97
ebe5cf5d-3542-427a-9615-ed362fb52956,2022-10-10 13:56:17.664,DashMart1,Cincinnati,,,0,,1,0,3,1,0,2,19.07,6.3566666666666665,3,0,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,13,Monday,False,Midday(11-14),DashMart1,0,unassigned_ebe5cf5d-3542-427a-9615-ed362fb52956
f80d3a94-c4b0-471c-9967-ad25a920acde,2022-10-09 21:04:51.168,Grocery2,Cincinnati,,,0,,1,0,2,2,0,0,6.4,3.2,2,0,1,1.0,0.0,1.0,1.0,21,Sunday,True,Evening(18-21),Grocery2/3,0,unassigned_f80d3a94-c4b0-471c-9967-ad25a920acde
85d4e373-4a3f-4fb2-9873-052e9acef738,2022-10-09 18:34:38.784,Grocery2,Cincinnati,,,0,,1,0,1,1,0,0,4.6,4.6,1,0,0,1.0,0.0,1.0,1.0,18,Sunday,True,Evening(18-21),Grocery2/3,0,unassigned_85d4e373-4a3f-4fb2-9873-052e9acef738
a87ec867-73ea-4f1d-98e8-12237166865b,2022-10-09 17:30:04.608,Grocery1,Cincinnati,,,0,,1,0,1,1,0,0,18.4,18.4,1,0,0,1.0,0.0,1.0,1.0,17,Sunday,True,Afternoon(15-17),Grocery1,0,unassigned_a87ec867-73ea-4f1d-98e8-12237166865b
b5f2b1e4-313d-4336-b044-dc290a2faa12,2022-10-09 17:09:15.264,Grocery1,Cincinnati,,,0,,1,0,1,1,0,0,16.1,16.1,1,0,0,1.0,0.0,1.0,1.0,17,Sunday,True,Afternoon(15-17),Grocery1,0,unassigned_b5f2b1e4-313d-4336-b044-dc290a2faa12
